b'win',b'lose',b'probability'
Dallas Mavericks,Los Angeles Lakers,0.753703725685
Oklahoma City Thunder,Memphis Grizzlies,0.776368278632
Toronto Raptors,Phoenix Suns,0.842765056502
Utah Jazz,Philadelphia 76ers,0.917169158208
Atlanta Hawks,Detroit Pistons,0.669448166671
Boston Celtics,Miami Heat,0.598395033311
Denver Nuggets,Philadelphia 76ers,0.840793306554
Golden State Warriors,Dallas Mavericks,0.904925822894
Los Angeles Clippers,Houston Rockets,0.560019392697
Indiana Pacers,Chicago Bulls,0.684972342764
Minnesota Timberwolves,Milwaukee Bucks,0.579641750661
New Orleans Pelicans,New York Knicks,0.573538747836
San Antonio Spurs,Portland Trail Blazers,0.739469807776
Washington Wizards,Brooklyn Nets,0.848781935296
Chicago Bulls,Milwaukee Bucks,0.73673915443
Cleveland Cavaliers,Charlotte Hornets,0.624843913763
Houston Rockets,New York Knicks,0.758766648826
Oklahoma City Thunder,Los Angeles Clippers,0.706071872432
Sacramento Kings,Memphis Grizzlies,0.547008302647
Utah Jazz,Phoenix Suns,0.829131144556
San Antonio Spurs,Atlanta Hawks,0.679545911334
Indiana Pacers,Orlando Magic,0.735592997105
Toronto Raptors,Los Angeles Lakers,0.880858585536
Miami Heat,Detroit Pistons,0.674685296969
Portland Trail Blazers,Minnesota Timberwolves,0.775467759312
Utah Jazz,Brooklyn Nets,0.761299636478
Charlotte Hornets,Chicago Bulls,0.530466483507
Cleveland Cavaliers,New Orleans Pelicans,0.920794352693
Golden State Warriors,Denver Nuggets,0.940542826698
Houston Rockets,Washington Wizards,0.601956832086
Los Angeles Clippers,Phoenix Suns,0.901942839634
Oklahoma City Thunder,Milwaukee Bucks,0.833724733075
New York Knicks,Orlando Magic,0.529256071177
Boston Celtics,Utah Jazz,0.685544657583
Dallas Mavericks,Washington Wizards,0.597896145723
Denver Nuggets,Sacramento Kings,0.550883093076
Detroit Pistons,Indiana Pacers,0.529884480164
Memphis Grizzlies,Los Angeles Lakers,0.685586033146
Minnesota Timberwolves,Philadelphia 76ers,0.751809554397
Miami Heat,Phoenix Suns,0.778565272312
San Antonio Spurs,Toronto Raptors,0.74562080069
Oklahoma City Thunder,Charlotte Hornets,0.597517751035
Cleveland Cavaliers,Chicago Bulls,0.865298638279
